coupon,ISIN,issue_date,maturity_date,Bootstrapped,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17
 0.0125 ,CA135087H565,2017-11-03,2020-02-01,N,99.95,99.95,99.95,99.95,99.95,99.96,99.96,99.96,99.96,99.96,99.97,99.97
 0.0150 ,CA135087D929,2014-10-14,2020-03-01,N,99.85,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.87,99.87
 0.0350 ,CA135087YZ11,2009-09-08,2020-06-01,N,100.7,100.7,100.69,100.69,100.68,100.66,100.65,100.65,100.64,100.64,100.63,100.62
 0.0075 ,CA135087E596,2015-04-13,2020-09-01,Y,99.26,99.28,99.28,99.27,99.28,99.28,99.28,99.27,99.28,99.3,99.31,99.3
 0.0225 ,CA135087J629,2018-11-09,2021-02-01,Y,100.55,100.58,100.6,100.59,100.57,100.56,100.52,100.53,100.52,100.54,100.55,100.52
 0.0075 ,CA135087F254,2015-10-19,2021-03-01,N,98.89,98.93,98.95,98.94,98.92,98.92,98.88,98.9,98.9,98.93,98.95,98.93
 0.1050 ,CA135087TZ75,1990-12-15,2021-03-15,N,110.28,110.27,110.27,110.23,110.2,110.09,110.06,110.03,110.02,110.01,109.95,109.91
 0.0175 ,CA135087J884,2019-02-11,2021-05-01,N,100.07,100.09,100.12,100.1,100.08,100.07,100.04,100.04,100.02,100.06,100.05,100.04
 0.0975 ,CA135087UE28,1991-05-09,2021-06-01,N,111.06,111.07,111.08,111.03,111.01,110.89,110.86,110.82,110.82,110.8,110.74,110.71
 0.0325 ,CA135087ZJ69,2010-07-19,2021-06-01,N,102.1,102.12,102.15,102.11,102.2,102.07,102.06,102.01,102.01,102.04,102.03,102.01
 0.0150 ,CA135087K296,2019-05-06,2021-08-01,Y,99.73,99.76,99.79,99.77,99.75,99.72,99.7,99.68,99.68,99.72,99.72,99.7
 0.0075 ,CA135087F585,2016-04-11,2021-09-01,N,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42,98.45,98.43
 0.0125 ,CA135087K452,2019-08-09,2021-11-01,N,99.27,99.31,99.36,99.34,99.32,99.27,99.25,99.24,99.25,99.28,99.27,99.26
 0.0150 ,CA135087K601,2019-11-04,2022-02-01,Y,99.69,99.74,99.78,99.76,99.76,99.71,99.68,99.67,99.67,99.7,99.7,99.69
 0.0050 ,CA135087G328,2016-10-11,2022-03-01,N,97.57,97.63,97.66,97.65,97.64,97.6,97.61,97.57,97.58,97.61,97.63,97.62
 0.0275 ,CA135087ZU15,2011-08-02,2022-06-01,Y,102.53,102.59,102.62,102.59,102.58,102.52,102.52,102.46,102.47,102.51,102.52,102.5
 0.0925 ,CA135087UM44,1991-12-15,2022-06-01,N,117.73,117.79,117.82,117.77,117.74,117.63,117.56,117.52,117.51,117.54,117.48,117.45
 0.0175 ,CA135087H490,2017-10-06,2023-03-01,Y,100.31,100.42,100.48,100.45,100.44,100.35,100.31,100.27,100.31,100.38,100.41,100.37
 0.0150 ,CA135087A610,2012-07-30,2023-06-01,Y,99.48,99.59,99.65,99.61,99.62,99.54,99.53,99.44,99.49,99.56,99.58,99.54
 0.0800 ,CA135087UT96,1992-08-17,2023-06-01,N,120.79,120.91,120.96,120.91,120.91,120.73,120.67,120.63,120.64,120.72,120.69,120.62
 0.0225 ,CA135087J546,2018-10-05,2024-03-01,Y,102.52,102.65,102.75,102.58,102.68,102.53,102.47,102.46,102.54,102.64,102.65,102.55
 0.0250 ,CA135087B451,2013-07-02,2024-06-01,N,103.53,103.86,103.99,103.88,103.82,103.65,103.7,103.61,103.7,103.8,103.8,103.7
 0.0150 ,CA135087J967,2019-04-05,2024-09-01,Y,98.72,98.95,99.29,99.11,99.25,98.99,99.03,99.06,98.99,99.1,99.3,99.21
 0.0125 ,CA135087K528,2019-10-11,2025-03-01,Y,98.24,98.43,98.58,98.48,98.48,98.3,98.25,98.24,98.34,98.47,98.49,98.36
 0.0225 ,CA135087D507,2014-06-30,2025-06-01,N,103.29,103.49,103.65,103.54,103.55,103.33,103.3,103.26,103.36,103.53,103.53,103.39
 0.0900 ,CA135087VH40,1994-08-02,2025-06-01,N,137.81,138.04,138.22,138.09,138.07,137.69,137.67,137.64,137.73,137.9,137.88,137.7
 0.0150 ,CA135087E679,2015-07-21,2026-06-01,N,99.28,99.49,99.67,99.57,99.56,99.29,99.28,99.25,99.37,99.54,99.56,99.4
 0.0100 ,CA135087F825,2016-08-03,2027-06-01,N,95.55,95.86,96.05,95.99,95.93,95.6,95.76,95.64,95.84,96,96.06,95.83
 0.0800 ,CA135087VW17,1996-05-01,2027-06-01,N,143.78,144.18,144.41,144.31,144.23,143.73,143.92,143.77,143.99,144.18,144.21,143.88
 0.0200 ,CA135087H235,2017-08-01,2028-06-01,N,102.84,103.21,103.45,103.34,103.27,102.85,103.07,102.9,103.15,103.34,103.42,103.15
 0.0225 ,CA135087J397,2018-07-27,2029-06-01,N,105.48,105.88,106.16,106,105.92,105.41,105.64,105.46,105.74,105.95,106.03,105.73
 0.0575 ,CA135087WL43,1998-02-02,2029-06-01,N,135.47,135.91,136.23,136.04,135.93,135.33,135.59,135.37,135.68,135.93,136,135.65